lng,Arabic ,English 
ar,ايما، ايمى,Emma
ar,ايفا، ايفى,Ava
ar,ابيجيل، ابيغيل,Abigail
ar,ماديسون، مادسون، مادسن,Madison
ar,اليزابيث، اليزابيت,Elizabeth
ar,ايفلين، ايفيلين,Evelyn
ar,ايلا، ايللا,Ella
ar,اديسون، اديسن,Addison
ar,نتالي، نتلي,Natalie
ar,حنا، هنا,Hannah
ar,بروكلين، بروكلن,Brooklyn
ar,بينيلوبه، بينالوبه,Penelope
ar,اليسون، اليسن,Allison
ar,سامانثا، سمانثا,Samantha
ar,نورا، نورة,Nora
ar,بيسلي، بسلي,Paisley
ar,جابريلا، جبريلا,Gabriella
ar,أريانّا، أريانا,Arianna
ar,سارة، سارا,Sarah
ar,مادلين، مدلين,Madelyn
ar,إلينور، إيلينور، ايليانور، اليانور,Eleanor
ar,كايلي، كيلي,Kaylee
ar,هازيل، هازل,Hazel
ar,اوتمن، اوتم,Autumn
ar,بيتون، بيتن,Peyton
ar,ماكينزي، مكنزي,Mackenzie
ar,بيلا، بيلى,Bella
ar,ايفا، ايفى,Eva
ar,تايلور، تيلور,Taylor
ar,ميلاني، ميلانه,Melanie
ar,بريانا، بريانّا,Brianna
ar,كاثرين، كاثرن,Katherine
ar,اشلي، آشلي,Ashley
ar,اليكسيس، الكسس، اليكسس,Alexis
ar,مادلين، مدلين,Madeline
ar,فايث، فيث,Faith
ar,انابيل، انبيل,Annabelle
ar,ايزابيل، ازابيل,Isabelle
ar,فيفيان، ففيان,Vivian
ar,جيانا، جيانه,Gianna
ar,ريجان، ريجن، ريغن، ريغان,Reagan
ar,اليكسندرا، الكسندرا,Alexandra
ar,اليانا، ايليانا، اليانه، ايليانه,Eliana
ar,الينا، ايلينا,Elena
ar,كمبرلي، كيمبرلي,Kimberly
ar,بيلي، بايلي,Bailey
ar,لونا، لونه,Luna
ar,فالينتينا، فلنتينا,Valentina
ar,ديليلا، ديليله، دليلا، دليله,Delilah
ar,اندريا، اندرية,Andrea
ar,مورغن، مورجن,Morgan
ar,جوزيفين، جوزافين,Josephine
ar,جوسلين، جسلين,Jocelyn
ar,ايميري، اميري,Emery
ar,اديلين، ادلين,Adeline
ar,جوردن، جوردين,Jordyn
ar,آريل، أريل,Ariel
ar,ايسلا، ايسله,Isla
ar,ماكايلا، مكايلا,Makayla
ar,ايميليا، اميليا,Emilia
ar,كيندال، كيندل,Kendall
ar,ميلودي، ملودي,Melody
ar,ايزابيل، ازابيل، ايسابيل، اسابيل,Isabel
ar,مكنزي، ماكنزي,Mckenzie
ar,بايتون، بيتون,Payton
ar,مارغاريت، مرغاريت، مارجاريت، مرجاريت,Margaret
ar,ماريا، مريا,Mariah
ar,نورا، نورة,Norah
ar,لوندين، لوندن,Londyn
ar,فاليريا، فليريا,Valeria
ar,سارة، سارا,Sara
ar,عليا، أليا,Aliyah
ar,راشيل، راكيل، ركيل، رشيل,Rachel
ar,بروكلين، بروكلن,Brooklynn
ar,فاليري، فلري,Valerie
ar,اليس، اليز,Elise
ar,ايليزا، اليزا,Eliza
ar,ريلين، رايلين,Raelynn
ar,ايميرسون، اميرسون,Emerson
ar,دايسي، دايزي، ديزي، ديسي,Daisy
ar,فانيسا، فنيسا,Vanessa
ar,برسلي، بريسلي,Presley
ar,ريبيكا، ربيكا,Rebecca
ar,ميشيل، مشيل، ميشال,Michelle
ar,اديلين، ادلين,Adelyn
ar,ارابيلا، اربيلا,Arabella
ar,كايتلين، كيتلين,Kaitlyn
ar,ليلا، ليلى,Lila
ar,دانيلا، دنيلا,Daniela
ar,إسثر، ايسثر,Esther
ar,جابريل، غابريل، جبريل، غبريل,Gabrielle
ar,ستيفاني، ستيفني,Stephanie
ar,ماكنزي، مكنزي,Makenzie
ar,الكسندريا، الكسندريه,Alexandria
ar,أناستازيا، أنستازيا، انستاسيا، أناستاسيا,Anastasia
ar,جيزيل، جيسيل,Giselle
ar,كايت، كيت,Kate
ar,تياجان، تياغان,Teagan
ar,سينّا، سينّه,Sienna
ar,كالي، سالي,Cali
ar,فيفين، فيفيان,Vivienne
ar,ايزابيلا، ازبيلا، ايسابيلا، اسابيلا,Izabella
ar,كينلي، كنلي,Kinley
ar,داليزا، دليزا,Daleyza
ar,كيلي، كلي,Kylee
ar,جايلا، جيلا,Jayla
ar,كتلين، كاتلين,Katelyn
ar,ماغي، ماجي,Maggie
ar,ديلاني، دلاني,Delaney
ar,برينلي، برنلي,Brynlee
ar,كاملي، كملي,Camille
ar,مكينى، مكينا,Mckenna
ar,آنية، آنيه,Aniyah
ar,جوسي، جوزي,Josie
ar,ميليسا، مليسا,Melissa
ar,جابريلا، جبريلا,Gabriela
ar,الويز، الويس,Eloise
ar,كاسيدي، كسيدي,Cassidy
ar,جاكلين، جكلين,Jacqueline
ar,برينن، برين,Brynn
ar,ايفانجلين، ايفنجلين,Evangeline
ar,باريس، بارس,Paris
ar,اوليف، اولف,Olive
ar,ايلا، ايلى,Ayla
ar,روزالي، روزلي,Rosalie
ar,جيمّا، جيما,Gemma
ar,ليليانا، لليانا,Lilliana
ar,ريجان، ريجن، ريغن، ريغان,Raegan
ar,جيرني، جورني,Journey
ar,اديلين، ادلين,Adelynn
ar,اليساندرا، اليسندرا,Alessandra
ar,كينزي، كنزي,Kenzie
ar,ميرندا، ميرنده,Miranda
ar,هالي، هيلي,Haley
ar,لوسيل، لوسيل,Lucille
ar,ميكينه، ماكينه، ماكينة,Makenna
ar,جاين، جين,Jane
ar,لايرك، ليرك,Lyric
ar,ايلينا، الينا,Elaina
ar,ادريانا، ادريانّا,Adrianna
ar,روث، رث,Ruth
ar,ميريام، مريم، ميريم,Miriam
ar,مريانا، ميريانا,Mariana
ar,دانيل، دنيل,Danielle
ar,جينا، جينى، جنّة ,Jenna
ar,شيلبي، شلبي,Shelby
ar,نينا، نينى,Nina
ar,مادلين، مدلين، ماديلين، مديلين,Madeleine
ar,ايليانا، اليانا,Elliana
ar,أمينة، أمينه,Amina
ar,أميا، أمية، أميه,Amiyah
ar,جوانا، جوانة، جوانه,Joanna
ar,جادا، جادى,Jada
ar,ليكسي، لكسي,Lexi
ar,ماديسون، مديسون، مادسون، مدسون,Maddison
ar,فاطيمة، فاطمة,Fatima
ar,ماليا، مالية، ماليه,Malia
ar,مدلين، مدلين، مادلين، مادلن,Madilyn
ar,دانيلا، دنيلا,Daniella
ar,اليكسيا، الكسيا,Alexia
ar,كاثرين، كاثرن,Kathryn
ar,سلينا، سيلينا,Selena
ar,لورا، لاورا,Laura
ar,"نايلا، نائلة، نيلا, نيلة",Nyla
ar,كاتالينا، كتالينا,Catalina
ar,كاميلا، كميلا,Kamila
ar,ليا، ليى,Lia
ar,هافن، هافين,Haven
ar,اشلين، اشلن,Ashlyn
ar,كرستينا، كريستينا,Christina
ar,آمبر، امبر,Amber
ar,ميلا، مايلا,Myla
ar,اديلين، ادلين,Addilyn
ar,ارين، ارن,Erin
ar,اليسون، السون,Alison
ar,انيسلي، انسلي,Ainsley
ar,رايلن، ريلن,Raelyn
ar,كادينس، كدنس,Cadence
ar,كندرا، كيندرا,Kendra
ar,كيلسي، كلسي,Kelsey
ar,ناديا، نادية,Nadia
ar,الوندرا، الندرا,Alondra
ar,كايدينس، كايدنس,Kaydence
ar,ميكايلا، ميكيلا,Mikayla
ar,هيفين، هيفن,Heaven
ar,لانا، لانة,Lana
ar,بلاكلي، بلاكيلي,Blakely